title,top_1_name,top_2_name,top_3_name,top_4_name,top_5_name,top_1_score,top_2_score,top_3_score,top_4_score,top_5_score
Up Close & Personal,All the King's Men,Rudderless,Gone Girl,Mean Streets,The Good Night,0.09713807537560658,0.08835115495453456,0.0711592557369445,0.07098063323246298,0.06971446249610665
The Tale of Despereaux,Brave,Shrek the Third,Jack the Giant Slayer,Space Dogs,Stuart Little 2,0.12478738827592127,0.10860884641494406,0.095836304985649,0.09001924412994884,0.08481260857002437
The Tuxedo,Run All Night,Bubble Boy,Kiss of Death,Lucky Break,Cop Out,0.2525531359762957,0.1665932767256429,0.15606810818679345,0.1345403862339956,0.13039643890323815
Under Siege 2: Dark Territory,Alex Cross,Rendition,The Pacifier,The Art of War,The Call,0.13111170976710182,0.10369372541184582,0.10172465063135994,0.09861437701345555,0.0970516324915627
Jack Ryan: Shadow Recruit,Patriot Games,Clear and Present Danger,Act of Valor,Kiss the Bride,The November Man,0.34877407085151213,0.33424327473620774,0.3297562990427203,0.1720251084720203,0.16336476419556248
Joy,You Can Count on Me,And Then Came Love,The Last Five Years,The Princess Diaries,The 5th Quarter,0.21041837655246076,0.2078068629485884,0.19172142719698423,0.19140618929097222,0.15434449516219328
London Has Fallen,Olympus Has Fallen,Romeo Is Bleeding,The Face of an Angel,Phantasm II,Machete,0.19244103773099452,0.1484502557615671,0.1183652307382214,0.11458106254803338,0.10637451466564957
Alien: Resurrection,Aliens,Don't Be Afraid of the Dark,Alien³,C.H.U.D.,AVP: Alien vs. Predator,0.2573901987797463,0.11408542333795708,0.10806659243344427,0.10324871109010123,0.09892550156446189
Shooter,The Sentinel,Point Blank,Survivor,Broken City,Chain Reaction,0.19290334493780753,0.1288603674947236,0.12716402903252053,0.121269391804768,0.11739825157709335
The Boxtrolls,Duma,Dinosaur,Bogus,Dwegons,Lara Croft Tomb Raider: The Cradle of Life,0.13832408085329562,0.13795877598735612,0.12710232051347242,0.10532401029718781,0.10183546164992642
Practical Magic,Run All Night,Melancholia,Bubble Boy,Head of State,Sexy Beast,0.10930723964850578,0.08515474148458849,0.08023197477697142,0.07851078031903738,0.07382206974191108
The Lego Movie,Boat Trip,Percy Jackson: Sea of Monsters,Austin Powers in Goldmember,Road Trip,Super Mario Bros.,0.11022622663254604,0.10063067734832498,0.10010325883668231,0.0778214153714575,0.07666094013646034
Miss Congeniality 2: Armed and Fabulous,Miss Congeniality,After the Sunset,Stan Helsing,Little Miss Sunshine,"Happy, Texas",0.31234981255930466,0.13350632129699222,0.12915309013261891,0.12831423501550118,0.12762485599227233
Reign of Fire,How to Train Your Dragon 2,Dragonslayer,Crossover,The Book of Eli,Dawn of the Planet of the Apes,0.1578046985803395,0.10455104194162693,0.09356428185355209,0.09074778542922701,0.08683935619516757
Gangster Squad,Footloose,The Fast and the Furious,Pi,The Score,Brooklyn Rules,0.10005973491574768,0.09106601440191199,0.09006361045589556,0.08816463180095446,0.08334051116248337
Year One,The Good Dinosaur,Yoga Hosers,Your Highness,One for the Money,Big Daddy,0.15058199209385484,0.1360567889618341,0.12240721151400526,0.11891335273645794,0.11570804125753426
